     AGC/ObjID		  RA	    Dec     r        z     D[Mpc]    LogM*  LogMHI/M*  code (ALFALFA-only, noSDSS spec =1, SDSS-only=2, match=3)
              188784    0.0000    0.0000  18.08   0.0142    63.09   8.4099   0.5672    1
              180592    0.0000    0.0000  14.07   0.0300   132.58  11.1034  -0.9858    1
              193846  135.9871   14.5777  16.87   0.0148    65.98   8.8825   0.2906    1
              193849  136.2423   15.8394  14.95   0.0400   175.35  10.7006  -0.5943    1
              191791    0.0000    0.0000    NaN   0.0011     4.32      NaN      NaN    1
              193857    0.0000    0.0000  18.08   0.0287   127.14   8.8448   0.6343    1
              193861    0.0000    0.0000  17.94   0.0266   117.98   8.7883   0.7368    1
              193863  139.4923   15.3847  17.76   0.0381   167.61   9.5209   0.1395    1
              193866  139.8800   14.1619  17.26   0.0144    64.30   8.5202   0.3080    1
              193877  141.6151   15.8244  18.03   0.0379   166.68   9.2714   0.3778    1
              193881  142.3876   14.7910  17.46   0.0349   153.83   9.3146   0.2584    1
              193884    0.0000    0.0000    NaN   0.0210    94.28      NaN      NaN    1
              193886    0.0000    0.0000  15.91   0.0199    89.54   9.4989   0.0186    1
              193887    0.0000    0.0000  18.01   0.0402   176.38   9.0392   0.6840    1
  588017702930022500  178.8498   11.9309  17.85   0.0223   100.51   9.0148   0.5071    2
  588017566560813216  178.6046   12.5893  16.62   0.0545   238.24  10.3140  -0.0421    2
  588017704003633335  178.6444   12.6382  16.86   0.0544   237.92  10.4863  -0.4355    2
  588017566560813202  178.5900   12.5027  17.11   0.0556   243.02   9.8702   0.2181    2
  588017705077309537  178.3774   13.5639  16.51   0.0550   240.39  10.5919  -0.5092    2
  588017567634489407  178.4750   13.2781  14.28   0.0245   109.75  10.7803  -1.3400    2
  588017704540504117  178.4961   13.1482  16.78   0.0227   101.93   9.6093  -0.5585    2
  588017703467090003  179.3510   12.2753  16.86   0.0437   191.87  10.1329  -0.4037    2
  588017703467024478  179.1530   12.3762  16.61   0.0240   107.50   9.7506  -0.5966    2
